Steps	Free Energy Density
0	-106.95254712769818
999	-109.60970952095222
1999	-109.61788868495218
2999	-109.62718129520718
3999	-109.64129933251822
4999	-109.6673002545472
5999	-109.7404517073521
6999	-110.18439578172476
7999	-111.53650442557363
8999	-114.06704317777806
9999	-119.06628514987273
10999	-126.25182490750966
11999	-134.6530789480297
12999	-143.1530410656859
13999	-151.9976595609283
14999	-160.1470997413489
15999	-166.33507113357723
16999	-170.32196503139278
17999	-172.60629525462855
18999	-173.77548505507286
19999	-174.33512558162795
20999	-174.6343313105855
21999	-174.850445027392
22999	-175.0642768636753
23999	-175.35440203968125
24999	-175.89283511415897
25999	-176.23597834989272
26999	-176.4607446891416
27999	-176.6570896117853
28999	-176.86385824843268
29999	-177.11095260496973
30999	-177.4777928841191
31999	-178.06218015742172
32999	-178.44888669785007
33999	-178.77828629441345
34999	-179.13203424454645
35999	-179.61657682290917
36999	-180.42819492289527
37999	-181.14080002220217
38999	-182.25461007329537
39999	-183.233523122431
40999	-183.97066743857619
41999	-184.6328073283206
42999	-185.039367041932
43999	-185.41023765312622
44999	-185.96772408488835
45999	-186.25026285670583
46999	-186.40476234750366
47999	-186.51983468972801
48999	-186.62624864554758
49999	-186.74178839449826
50999	-186.89149697858636
51999	-187.19070184916973
52999	-187.587471956351
53999	-187.7712864020948
54999	-187.8819831018502
55999	-187.96421827101227
56999	-188.0352545021945
57999	-188.10278463100232
58999	-188.17078770366425
59999	-188.24171933038798
60999	-188.31741194203863
61999	-188.3994760537336
62999	-188.4896106263812
63999	-188.59019534321064
64999	-188.70531239514838
65999	-188.8424167749452
66999	-189.01782709194998
67999	-189.29723102292195
68999	-189.82182091979828
69999	-190.1568762826235
70999	-190.52031413542247
71999	-190.99431692238284
72999	-191.20547668423006
73999	-191.3195999746325
74999	-191.39357188704594
75999	-191.44939171261126
76999	-191.49715511520375
77999	-191.54187422392766
78999	-191.58619467709485
79999	-191.63162804633419
80999	-191.67913793009018
81999	-191.7294224766008
82999	-191.78305430871728
83999	-191.840561334389
84999	-191.9024988677404
85999	-191.96955371050004
86999	-192.0427332510572
87999	-192.12368915243894
88999	-192.21517011227056
89999	-192.32165891503774
90999	-192.4510356275485
91999	-192.62348641661333
92999	-192.95233542717062
93999	-193.38958929966384
94999	-193.6240524265334
95999	-193.81276272867285
96999	-194.02947720726698
97999	-194.47047665035004
98999	-194.79675797316435
99999	-194.94075186801453
