Steps	Free Energy Density
0	0.10508838898158265
999	-9.935135224118532
1999	-50.552816390750365
2999	-67.64540859010049
3999	-79.0147804283102
4999	-88.51887988574028
5999	-95.92372832175403
6999	-102.3231263441268
7999	-108.2081123796176
8999	-113.44697819653425
9999	-117.9124361291021
10999	-121.63251756153207
11999	-124.76958159193957
12999	-127.4483847453671
13999	-129.91169510462683
14999	-132.20353201919144
15999	-134.36373305251266
16999	-136.42436342649998
17999	-138.40840522385207
18999	-140.3158770002045
19999	-142.122544010304
20999	-143.82270020882524
21999	-145.41455440853747
22999	-146.90474579591785
23999	-148.29604371639496
24999	-149.60388783051806
25999	-150.8368057712456
26999	-152.0112159952148
27999	-153.12455396644205
28999	-154.18936229230206
29999	-155.21106428715746
30999	-156.19457909583969
31999	-157.15565522225296
32999	-158.09487770472106
33999	-159.01224810009842
34999	-159.9021945801672
35999	-160.76937493241397
36999	-161.61834582335865
37999	-162.44379794216522
38999	-163.25006115375982
39999	-164.0344584408172
40999	-164.79688588808986
41999	-165.53995256607462
42999	-166.25240042830262
43999	-166.93422608341257
44999	-167.5909095716965
45999	-168.2245317833499
46999	-168.83854124491594
47999	-169.42830201258388
48999	-169.9871082374726
49999	-170.5192009665564
50999	-171.03195504838882
51999	-171.52818042907936
52999	-172.00720380792526
53999	-172.46709783631718
54999	-172.90784319658758
55999	-173.33316797568972
56999	-173.74389178765145
57999	-174.1374119481309
58999	-174.51556363876588
59999	-174.88271402085917
60999	-175.24011754513273
61999	-175.58944035470964
62999	-175.93127869319818
63999	-176.26350974416007
64999	-176.58757960254152
65999	-176.90744689452885
66999	-177.22094476375187
67999	-177.52271432472443
68999	-177.8127994689914
69999	-178.09459179194258
70999	-178.36923136218067
71999	-178.63629768589595
72999	-178.89602995401867
73999	-179.14937133738204
74999	-179.3970124293474
75999	-179.6392311609047
76999	-179.87741560001928
77999	-180.11788830168587
78999	-180.39348309768852
79999	-180.8144739114868
80999	-181.2483199266827
81999	-181.63293338921244
82999	-181.98253352281915
83999	-182.3074939102624
84999	-182.6064911379248
85999	-182.8857860093865
86999	-183.1480924910784
87999	-183.39263365506952
88999	-183.62376252137148
89999	-183.84553860150507
90999	-184.05844807548547
91999	-184.26274427198254
92999	-184.4599607029406
93999	-184.6516437302788
94999	-184.83847859664718
95999	-185.01996766914297
96999	-185.1953793957294
97999	-185.36482844135622
98999	-185.52919625820468
99999	-185.68963966191905
