steps	x-axis	y-axis
0	24.8	25.2
4	25.8	26.2
8	26.8	27.2
12	27.8	28.2
16	28.8	29.2
20	29.8	30.2
24	30.8	31.2
28	31.8	32.2
32	32.8	33.2
36	33.8	34.2
40	34.8	35.2
44	35.8	36.2
48	36.8	37.2
52	37.8	38.2
56	38.8	39.2
60	39.8	40.2
64	40.8	41.2
68	41.8	42.2
72	42.8	43.2
76	43.8	44.2
80	44.8	45.2
84	45.8	46.2
88	46.8	47.2
92	47.8	48.2
104	0.8	1.2
108	1.8	2.2
112	2.8	3.2
116	3.8	4.2
120	4.8	5.2
124	5.8	6.2
128	6.8	7.2
132	7.8	8.2
136	8.8	9.2
140	9.8	10.2
144	10.8	11.2
148	11.8	12.2
152	12.8	13.2
156	13.8	14.2
160	14.8	15.2
164	15.8	16.2
168	16.8	17.2
172	17.8	18.2
176	18.8	19.2
180	19.8	20.2
184	20.8	21.2
188	21.8	22.2
192	22.8	23.2
196	23.8	24.2
200	24.8	25.2
204	25.8	26.2
208	26.8	27.2
212	27.8	28.2
216	28.8	29.2
220	29.8	30.2
224	30.8	31.2
228	31.8	32.2
232	32.8	33.2
236	33.8	34.2
240	34.8	35.2
244	35.8	36.2
248	36.8	37.2
252	37.8	38.2
256	38.8	39.2
260	39.8	40.2
264	40.8	41.2
268	41.8	42.2
272	42.8	43.2
276	43.8	44.2
280	44.8	45.2
284	45.8	46.2
288	46.8	47.2
292	47.8	48.2
